Subject,spam
Crowdsource your lunch,1
Spring into Europe only $19.99,1
Happy life with state life,1
Free Watches!!,1
Celebrate Valentine Gift Set!,1
You have acquired half price,1
Friday Ladies Night! ,1
Don?t forget to reactivate your account!,1
Grand New year eve (balloons),1
Special NetIP Cloud Service Offer,1
OMG Alert :) Stay with us!,1
Reminder for Meeting,0
Links to Cloud Document,0
Friday Night,0
"Hey Bob, look at this!",0
"3,2,1? Its that time of the year! Holiday Party!",0
Updated Monthly Report,0
Water Filter Replacement at site,0
Splunk Alert: Test Alert!,0
Ubuntu vs Debian forums (recompiling kernel with a different version name),0
Re: Linux Zimbra front ends - was Re: Kde 3.5 ... (Maybe OT),1
"Hey hibody tao, get 80 percent OFF",1
!Dear hibody@csmining.org 77% 0FF on Drug,1
CNET NEWS.COM: WorldCom woes lead to bankruptcy,1
Re: [ILUG] RH7.3 on Cobalt - the saga continues,1
Five,1
[Lockergnome Tech Specialist]  Geothermal Caffeine,1
Teach and Grow Rich,1
[SPAM]  Wonderful holiday plan,1
Re: Bush veto on Middle East talks,1
"Adult Ads, Married but Lonely",1
Re: curses interface to nmh,0
[SAtalk] why false positives are twenty times worse than false negatives,1
Re: What needs to improve in KDE 4,0
[SPAM]  Get your horn charged!!!,1
Java Robot code and reboots,0
problem to put the soho plasmoid,0
Re: Going wireless,0
Words fail me,0
Wear Sunscreen,0
1987 copy of Nintendo zine going for $700 on eBay,1
RE: SALE 73% OFF on DRUGS!,1
mount information from DA framework,0
[SPAM]  Warning! Server down,1
Re: using samba with unix acls,0
You Need Full Disclosure!,1
Understandable Info on Timeshare,1
RE: Hanson's Sept 11 message in the National Review,1
"EFFector 15.24: EFF Submits Comments to FCC, Johansen Trial    Schedule Update",1
discounted mortgage broker 512517,1
